latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
52.415215	16.837097	0	0	0	0	0	0	0	0	0	1697289275
52.415398	16.837332	0	0	16.7	9	10.4	0	0	70	0	1697289306
52.415421	16.837568	0	0	18.5	10	11.5	0	0	87	0	1697289309
52.415421	16.837824	0	0	20.4	11	12.7	0	0	92	0	1697289312
52.415409	16.838177	0	0	22.2	12	13.8	0	0	95	0	1697289316
52.415382	16.838474	0	0	22.2	12	13.8	0	0	98	0	1697289319
52.415314	16.838741	0	0	18.5	10	11.5	0	0	135	7000	1697289323
52.415085	16.838942	0	0	18.5	10	11.5	0	0	160	7000	1697289328
52.414867	16.839104	0	0	9.3	5	5.8	0	0	123	7000	1697289335
52.415211	16.837101	0	0	1.9	1	1.2	0	0	351	7000	1697289355
52.414925	16.839256	0	0	0	0	0	0	0	0	0	1697290286
52.415176	16.839176	0	0	13	7	8.1	0	0	351	3701	1697290947
52.41544	16.839218	0	0	16.7	9	10.4	0	0	14	3701	1697290954
52.415668	16.83939	0	0	18.5	10	11.5	0	0	25	3701	1697290959
52.41589	16.83955	0	0	20.4	11	12.7	0	0	22	3701	1697290964
52.416138	16.839695	0	0	20.4	11	12.7	0	0	22	3701	1697290969
52.416389	16.839844	0	0	22.2	12	13.8	0	0	19	3701	1697290974
52.41671	16.840038	0	0	18.5	10	11.5	0	0	22	3701	1697290981
52.416992	16.840216	0	0	16.7	9	10.4	0	0	19	3701	1697290987
52.417236	16.840363	0	0	0	0	0	0	0	16	3701	1697291091
52.417469	16.84053	0	0	14.8	8	9.2	0	0	22	3701	1697291100
52.417763	16.840706	0	0	18.5	10	11.5	0	0	19	3701	1697291107
52.418076	16.840883	0	0	16.7	9	10.4	0	0	14	3701	1697291114
52.418262	16.840668	0	0	11.1	6	6.9	0	0	286	3701	1697291122
52.418312	16.840439	0	0	11.1	6	6.9	0	0	289	3701	1697291129
52.418358	16.84021	0	0	22.2	12	13.8	0	0	289	3701	1697291133
52.418415	16.839941	0	0	40.7	22	25.3	0	0	289	3701	1697291135
52.418495	16.83955	0	0	57.4	31	35.7	0	0	286	3701	1697291137
52.41861	16.83906	475	145	68.5	37	42.6	0	0	286	3701	1697291139
52.419296	16.835251	475	145	125.9	68	78.3	64	0.3	284	3701	1697291148
52.420212	16.830292	550	168	148.2	80	92.1	512	2.6	286	3701	1697291157
52.421219	16.824934	700	213	153.7	83	95.5	960	4.9	286	3701	1697291166
52.422272	16.819382	825	251	164.8	89	102.4	768	3.9	288	3701	1697291175
52.423508	16.813354	950	290	175.9	95	109.3	448	2.3	287	3701	1697291184
52.424801	16.806728	1050	320	190.8	103	118.5	832	4.2	288	3701	1697291193
52.426151	16.799665	1200	366	200	108	124.3	1088	5.5	286	3701	1697291202
52.427444	16.792831	1425	434	192.6	104	119.7	1664	8.5	286	3701	1697291211
52.428806	16.785933	1600	488	192.6	104	119.7	1152	5.9	288	3701	1697291220
52.430237	16.779251	1775	541	194.5	105	120.8	1280	6.5	289	3701	1697291229
52.431839	16.772308	1975	602	201.9	109	125.4	1472	7.5	290	3701	1697291238
52.433323	16.765371	2200	671	196.3	106	122	1472	7.5	289	3701	1697291247
52.434814	16.758499	2425	739	196.3	106	122	1408	7.2	288	3701	1697291257
52.436188	16.751785	2625	800	196.3	106	122	1280	6.5	289	3701	1697291266
52.43742	16.744656	2825	861	198.2	107	123.1	1280	6.5	276	3701	1697291274
52.43737	16.742222	2875	876	201.9	109	125.4	1088	5.5	265	3701	1697291277
52.436966	16.739349	2950	899	200	108	124.3	1152	5.9	252	3701	1697291281
52.436371	16.737289	3025	922	203.7	110	126.6	1280	6.5	242	3701	1697291284
52.435555	16.735239	3075	937	209.3	113	130	1152	5.9	231	3701	1697291287
52.434402	16.733322	3125	953	213	115	132.3	1088	5.5	222	3701	1697291290
52.432983	16.73172	3175	968	218.5	118	135.8	1088	5.5	212	3701	1697291293
52.431564	16.730652	3250	991	224.1	121	139.2	1280	6.5	201	3701	1697291296
52.429825	16.729813	3300	1006	229.6	124	142.7	1152	5.9	193	3701	1697291299
52.428314	16.729507	3350	1021	235.2	127	146.1	1024	5.2	184	3701	1697291302
52.426529	16.72966	3425	1044	238.9	129	148.5	1216	6.2	175	3701	1697291305
52.424664	16.730295	3500	1067	244.5	132	151.9	1408	7.2	165	3701	1697291308
52.422939	16.731314	3550	1082	250	135	155.4	1280	6.5	155	3701	1697291311
52.421173	16.732962	3625	1105	255.6	138	158.8	1216	6.2	147	3701	1697291314
52.419525	16.735153	3700	1128	261.1	141	162.3	1344	6.8	138	3701	1697291317
52.418106	16.737366	3750	1143	263	142	163.4	1152	5.9	134	3701	1697291320
52.41687	16.739655	3775	1151	266.7	144	165.7	768	3.9	131	3701	1697291323
52.415493	16.742222	3825	1166	270.4	146	168	576	2.9	130	3701	1697291326
52.414188	16.744812	3850	1173	270.4	146	168	768	3.9	129	3701	1697291329
52.412842	16.747437	3925	1196	272.2	147	169.2	1024	5.2	129	3701	1697291332
52.411533	16.750149	3975	1212	272.2	147	169.2	1216	6.2	129	3701	1697291335
52.410324	16.752581	4050	1234	272.2	147	169.2	1216	6.2	129	3701	1697291338
52.409023	16.755171	4100	1250	272.2	147	169.2	1088	5.5	129	3701	1697291341
52.407669	16.757813	4150	1265	274.1	148	170.3	1024	5.2	129	3701	1697291344
52.406368	16.760349	4175	1273	277.8	150	172.6	704	3.6	129	3701	1697291347
52.405018	16.763096	4200	1280	285.2	154	177.2	320	1.6	129	3701	1697291350
52.40062	16.771774	4200	1280	300	162	186.4	0	0	129	3701	1697291359
52.396313	16.780283	4200	1280	303.7	164	188.7	-64	-0.3	129	3701	1697291368
52.391937	16.789072	4200	1280	311.1	168	193.3	0	0	129	3701	1697291377
52.387344	16.798096	4200	1280	316.7	171	196.8	-128	-0.7	130	3701	1697291386
52.382538	16.807404	4200	1280	316.7	171	196.8	0	0	129	3701	1697291396
52.378006	16.816406	4200	1280	316.7	171	196.8	0	0	129	3701	1697291405
52.37352	16.82518	4200	1280	320.4	173	199.1	-64	-0.3	129	3701	1697291414
52.368713	16.834641	4200	1280	320.4	173	199.1	-64	-0.3	130	3701	1697291423
52.364136	16.843491	4200	1280	324.1	175	201.4	-64	-0.3	130	3701	1697291432
52.359348	16.852713	4200	1280	324.1	175	201.4	0	0	130	3701	1697291441
52.354462	16.861973	4200	1280	324.1	175	201.4	64	0.3	130	3701	1697291450
52.349808	16.87084	4200	1280	326	176	202.5	0	0	130	3701	1697291459
52.344872	16.8801	4200	1280	324.1	175	201.4	128	0.7	130	3701	1697291468
52.340149	16.889038	4200	1280	324.1	175	201.4	-128	-0.7	130	3701	1697291477
52.335236	16.898386	4200	1280	324.1	175	201.4	64	0.3	130	3701	1697291486
52.332024	16.904428	4200	1280	326	176	202.5	0	0	131	3701	1697291492
52.327286	16.913376	4200	1280	326	176	202.5	0	0	130	3701	1697291502
52.322479	16.922556	4200	1280	326	176	202.5	0	0	130	3701	1697291511
52.317451	16.932051	4200	1280	326	176	202.5	0	0	131	3701	1697291520
52.312592	16.941223	4200	1280	327.8	177	203.7	-64	-0.3	130	3701	1697291529
52.307957	16.950335	4200	1280	327.8	177	203.7	0	0	126	3701	1697291538
52.306732	16.953735	4200	1280	331.5	179	206	-64	-0.3	118	3701	1697291541
52.305767	16.957632	4200	1280	333.4	180	207.1	-64	-0.3	109	3701	1697291544
52.305176	16.96167	4200	1280	333.4	180	207.1	64	0.3	100	3701	1697291547
52.304745	16.966108	4200	1280	331.5	179	206	128	0.7	97	3701	1697291550
52.304512	16.969639	4200	1280	331.5	179	206	64	0.3	96	3701	1697291553
52.304214	16.97403	4200	1280	333.4	180	207.1	-128	-0.7	96	3701	1697291556
52.303905	16.977957	4200	1280	333.4	180	207.1	-64	-0.3	97	3701	1697291559
52.303619	16.982193	4200	1280	335.2	181	208.3	0	0	97	3701	1697291562
52.303303	16.986118	4200	1280	333.4	180	207.1	-64	-0.3	97	3701	1697291565
