latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
51.37825	19.68453	975	297	150	81	93.2	704	3.6	207	7000	1697291809
51.374451	19.681265	1075	328	151.9	82	94.4	768	3.9	209	7000	1697291818
51.371464	19.67865	1200	366	148.2	80	92.1	896	4.6	206	7000	1697291827
51.368904	19.676666	1300	396	157.4	85	97.8	768	3.9	204	7000	1697291835
51.367043	19.675903	1325	404	175.9	95	109.3	512	2.6	187	7000	1697291839
51.365662	19.676067	1375	419	181.5	98	112.8	832	4.2	173	7000	1697291842
51.364243	19.676886	1400	427	185.2	100	115.1	960	4.9	155	7000	1697291845
51.363132	19.678116	1450	442	190.8	103	118.5	832	4.2	142	7000	1697291848
51.362106	19.679794	1475	450	192.6	104	119.7	640	3.3	131	7000	1697291851
51.361084	19.681854	1500	457	196.3	106	122	512	2.6	126	7000	1697291855
51.36034	19.683533	1525	465	196.3	106	122	640	3.3	125	7000	1697291857
51.359455	19.685593	1575	480	196.3	106	122	768	3.9	122	7000	1697291860
51.358704	19.687946	1625	495	198.2	107	123.1	768	3.9	115	7000	1697291864
51.35815	19.689941	1625	495	205.6	111	127.7	320	1.6	112	7000	1697291866
51.357594	19.692307	1625	495	213	115	132.3	192	1	109	7000	1697291869
51.357101	19.694998	1650	503	213	115	132.3	256	1.3	107	7000	1697291873
51.356613	19.697342	1675	511	211.1	114	131.2	704	3.6	107	7000	1697291876
51.356197	19.699783	1725	526	209.3	113	130	896	4.6	105	7000	1697291879
51.355728	19.702272	1775	541	207.4	112	128.9	832	4.2	105	7000	1697291882
51.355312	19.704742	1800	549	211.1	114	131.2	640	3.3	104	7000	1697291885
51.354996	19.706875	1825	556	214.8	116	133.5	384	2	103	7000	1697291887
51.354584	19.709919	1850	564	216.7	117	134.6	576	2.9	102	7000	1697291891
51.354218	19.712812	1875	572	216.7	117	134.6	704	3.6	100	7000	1697291894
51.353962	19.715424	1925	587	216.7	117	134.6	640	3.3	97	7000	1697291897
51.353806	19.717936	1950	594	214.8	116	133.5	640	3.3	94	7000	1697291900
51.353714	19.720682	2000	610	213	115	132.3	768	3.9	92	7000	1697291903
51.353683	19.7229	2050	625	211.1	114	131.2	960	4.9	90	7000	1697291906
51.35376	19.725506	2100	640	203.7	110	126.6	896	4.6	86	7000	1697291909
51.353851	19.727882	2125	648	203.7	110	126.6	832	4.2	85	7000	1697291912
51.353962	19.730377	2175	663	201.9	109	125.4	832	4.2	87	7000	1697291916
51.354008	19.732819	2225	678	201.9	109	125.4	832	4.2	88	7000	1697291918
51.354034	19.735157	2250	686	201.9	109	125.4	768	3.9	88	7000	1697291921
51.354099	19.737625	2275	693	201.9	109	125.4	512	2.6	87	7000	1697291924
51.354172	19.740353	2300	701	201.9	109	125.4	512	2.6	87	7000	1697291928
51.354218	19.74258	2350	716	203.7	110	126.6	576	2.9	86	7000	1697291931
51.354519	19.749985	2425	739	205.6	111	127.7	512	2.6	85	7000	1697291940
51.354893	19.757919	2475	754	220.4	119	136.9	-64	-0.3	85	7000	1697291949
51.35527	19.76626	2475	754	242.6	131	150.8	64	0.3	85	7000	1697291958
51.355591	19.775391	2475	754	259.3	140	161.1	0	0	87	7000	1697291967
51.355778	19.785156	2500	762	268.5	145	166.9	128	0.7	88	7000	1697291976
51.355869	19.792099	2525	770	268.5	145	166.9	320	1.6	89	7000	1697291983
51.356049	19.801668	2550	777	270.4	146	168	-64	-0.3	87	7000	1697291991
51.356323	19.811543	2550	777	279.7	151	173.8	-64	-0.3	88	7000	1697292001
51.356461	19.822083	2550	777	283.4	153	176.1	128	0.7	89	7000	1697292010
51.356522	19.83223	2575	785	285.2	154	177.2	128	0.7	89	7000	1697292019
51.356598	19.842125	2575	785	285.2	154	177.2	0	0	88	7000	1697292027
51.356644	19.853186	2525	770	292.6	158	181.8	-576	-2.9	89	7000	1697292037
51.356781	19.864023	2475	754	294.5	159	183	-128	-0.7	87	7000	1697292046
51.357239	19.87464	2425	739	298.2	161	185.3	-384	-2	84	7000	1697292056
51.357407	19.885406	2350	716	294.5	159	183	-256	-1.3	94	7000	1697292064
51.356964	19.889484	2350	716	294.5	159	183	-256	-1.3	101	7000	1697292068
51.356335	19.892731	2325	709	294.5	159	183	-256	-1.3	108	7000	1697292071
51.355545	19.895868	2350	716	292.6	158	181.8	0	0	113	7000	1697292074
51.354584	19.898987	2325	709	292.6	158	181.8	-256	-1.3	117	7000	1697292077
51.353451	19.902191	2300	701	294.5	159	183	-320	-1.6	119	7000	1697292080
51.352295	19.905296	2300	701	292.6	158	181.8	64	0.3	121	7000	1697292083
51.35117	19.908218	2350	716	288.9	156	179.5	704	3.6	121	7000	1697292086
51.349957	19.91127	2400	732	283.4	153	176.1	896	4.6	122	7000	1697292089
51.348793	19.913712	2425	739	275.9	149	171.5	768	3.9	129	7000	1697292092
51.347305	19.916306	2475	754	270.4	146	168	832	4.2	134	7000	1697292095
51.34586	19.918137	2525	770	263	142	163.4	832	4.2	141	7000	1697292098
51.344101	19.919994	2550	777	257.4	139	160	640	3.3	149	7000	1697292101
51.34227	19.921478	2575	785	253.7	137	157.7	512	2.6	153	7000	1697292104
51.340508	19.922867	2625	800	251.9	136	156.5	576	2.9	153	7000	1697292107
51.338833	19.92424	2650	808	253.7	137	157.7	576	2.9	153	7000	1697292110
51.337109	19.925613	2650	808	257.4	139	160	256	1.3	152	7000	1697292113
51.335312	19.92712	2650	808	257.4	139	160	64	0.3	154	7000	1697292116
51.333618	19.928436	2675	815	261.1	141	162.3	128	0.7	153	7000	1697292119
51.331787	19.929867	2675	815	261.1	141	162.3	128	0.7	152	7000	1697292122
51.330139	19.931055	2700	823	255.6	138	158.8	320	1.6	158	7000	1697292125
51.328403	19.931946	2750	838	248.2	134	154.2	1216	6.2	163	7000	1697292128
51.32634	19.932911	2875	876	240.8	130	149.6	1920	9.8	162	7000	1697292132
51.324875	19.933653	2950	899	235.2	127	146.1	1728	8.8	162	7000	1697292134
51.323044	19.934395	3025	922	222.2	120	138.1	1600	8.1	168	7000	1697292138
51.321468	19.934769	3100	945	213	115	132.3	1216	6.2	171	7000	1697292141
51.319931	19.93515	3150	960	209.3	113	130	960	4.9	171	7000	1697292144
51.318329	19.935509	3175	968	205.6	111	127.7	704	3.6	171	7000	1697292147
51.316818	19.935806	3200	975	200	108	124.3	640	3.3	172	7000	1697292150
51.315353	19.936029	3250	991	196.3	106	122	832	4.2	175	7000	1697292153
51.313694	19.936218	3275	998	198.2	107	123.1	384	2	176	7000	1697292156
51.312332	19.936325	3275	998	205.6	111	127.7	-64	-0.3	176	7000	1697292159
51.310806	19.936447	3250	991	211.1	114	131.2	-64	-0.3	176	7000	1697292162
51.308945	19.936623	3250	991	214.8	116	133.5	-64	-0.3	176	7000	1697292165
51.307434	19.936771	3250	991	218.5	118	135.8	-192	-1	176	7000	1697292168
51.30592	19.936905	3225	983	222.2	120	138.1	-512	-2.6	179	7000	1697292171
51.30423	19.936771	3175	968	218.5	118	135.8	-768	-3.9	185	7000	1697292174
51.302334	19.936371	3175	968	216.7	117	134.6	-448	-2.3	187	7000	1697292177
51.3008	19.935989	3200	975	207.4	112	128.9	320	1.6	189	7000	1697292180
51.299404	19.935608	3225	983	200	108	124.3	704	3.6	189	7000	1697292183
51.297867	19.935211	3250	991	198.2	107	123.1	512	2.6	187	7000	1697292186
51.296356	19.93499	3275	998	200	108	124.3	128	0.7	185	7000	1697292189
51.294792	19.934845	3250	991	203.7	110	126.6	0	0	181	7000	1697292192
51.291641	19.935286	3225	983	218.5	118	135.8	-448	-2.3	171	7000	1697292198
51.289948	19.935881	3225	983	222.2	120	138.1	-64	-0.3	167	7000	1697292201
51.288368	19.936447	3250	991	218.5	118	135.8	512	2.6	165	7000	1697292204
51.287155	19.936993	3250	991	220.4	119	136.9	384	2	164	4156	1697292206
51.285389	19.93782	3275	998	218.5	118	135.8	192	1	163	4156	1697292210
51.283623	19.93866	3275	998	218.5	118	135.8	0	0	163	4156	1697292213
51.281982	19.939518	3250	991	224.1	121	139.2	-256	-1.3	162	4156	1697292217
51.280643	19.940186	3225	983	224.1	121	139.2	-384	-2	162	4156	1697292219
51.278732	19.941151	3225	983	224.1	121	139.2	-64	-0.3	160	4156	1697292222
51.277336	19.94194	3225	983	220.4	119	136.9	128	0.7	160	4156	1697292225
51.27562	19.942858	3250	991	218.5	118	135.8	192	1	161	4156	1697292228
51.271042	19.944937	3275	998	214.8	116	133.5	0	0	166	4156	1697292237
51.267559	19.946136	3250	991	211.1	114	131.2	64	0.3	169	4156	1697292244
51.266537	19.946442	3250	991	209.3	113	130	-128	-0.7	169	4156	1697292247
51.264679	19.947016	3250	991	209.3	113	130	64	0.3	169	4156	1697292249
51.262905	19.947433	3275	998	209.3	113	130	128	0.7	171	4156	1697292253
51.261463	19.947815	3250	991	209.3	113	130	0	0	172	4156	1697292256
51.259918	19.948053	3250	991	209.3	113	130	-64	-0.3	172	4156	1697292258
51.258041	19.948425	3250	991	211.1	114	131.2	-64	-0.3	172	4156	1697292262
51.256527	19.948807	3250	991	214.8	116	133.5	0	0	170	4156	1697292265
51.251541	19.950281	3250	991	218.5	118	135.8	0	0	168	4156	1697292274
51.246918	19.951914	3250	991	216.7	117	134.6	0	0	169	4156	1697292283
51.241837	19.952805	3275	998	211.1	114	131.2	-64	-0.3	175	4156	1697292292
51.24028	19.952927	3250	991	213	115	132.3	-64	-0.3	176	4156	1697292295
51.239117	19.953079	3250	991	214.8	116	133.5	-192	-1	176	4156	1697292298
51.2346	19.9543	3275	998	218.5	118	135.8	192	1	167	4156	1697292306
51.232269	19.955849	3325	1013	225.9	122	140.4	448	2.3	154	4156	1697292310
51.230988	19.956963	3325	1013	225.9	122	140.4	384	2	149	4156	1697292313
51.229622	19.95842	3350	1021	227.8	123	141.5	320	1.6	144	4156	1697292316
51.228058	19.960451	3375	1029	229.6	124	142.7	384	2	139	4156	1697292319
51.226822	19.962381	3400	1036	227.8	123	141.5	384	2	136	4156	1697292322
51.225525	19.9646	3425	1044	231.5	125	143.8	448	2.3	130	4156	1697292326
51.224854	19.966019	3450	1052	233.4	126	145	512	2.6	128	4156	1697292328
51.223568	19.968796	3475	1059	235.2	127	146.1	576	2.9	122	4156	1697292331
51.222733	19.971313	3500	1067	238.9	129	148.5	512	2.6	116	4156	1697292334
51.222153	19.973591	3525	1074	238.9	129	148.5	448	2.3	114	4156	1697292337
51.221649	19.976559	3525	1074	246.3	133	153.1	192	1	102	4156	1697292340
51.221375	19.979677	3575	1090	244.5	132	151.9	640	3.3	97	4156	1697292343
51.221195	19.982452	3600	1097	238.9	129	148.5	704	3.6	95	4156	1697292346
51.221008	19.985764	3650	1113	238.9	129	148.5	640	3.3	95	4156	1697292350
51.220867	19.988174	3650	1113	240.8	130	149.6	320	1.6	95	4156	1697292352
51.220596	19.991703	3650	1113	240.8	130	149.6	192	1	97	4156	1697292356
51.220276	19.994671	3675	1120	237.1	128	147.3	384	2	99	4156	1697292359
51.22023	19.995266	3700	1128	237.1	128	147.3	448	2.3	99	4156	1697292360
51.219658	20.000229	3725	1135	240.8	130	149.6	384	2	100	4156	1697292365
51.219425	20.002289	3725	1135	238.9	129	148.5	256	1.3	99	4156	1697292367
51.218399	20.011745	3800	1158	237.1	128	147.3	320	1.6	100	4156	1697292377
51.218079	20.014343	3825	1166	235.2	127	146.1	448	2.3	100	4156	1697292380
51.217239	20.021744	3875	1181	227.8	123	141.5	384	2	100	4156	1697292388
51.216202	20.030972	3950	1204	227.8	123	141.5	384	2	100	4156	1697292398
51.215195	20.039804	4025	1227	225.9	122	140.4	320	1.6	100	4156	1697292408
