latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
52.417351	16.840439	0	0	11.1	6	6.9	0	0	27	0	1697292188
52.417599	16.84059	0	0	18.5	10	11.5	0	0	19	0	1697292195
52.417889	16.840725	0	0	14.8	8	9.2	0	0	8	0	1697292202
52.41811	16.840649	0	0	16.7	9	10.4	0	0	334	0	1697292208
52.418331	16.840256	0	0	14.8	8	9.2	0	0	295	0	1697292215
52.418388	16.840021	0	0	13	7	8.1	0	0	286	0	1697292221
52.418449	16.839746	0	0	29.6	16	18.4	0	0	289	0	1697292224
52.418507	16.839451	0	0	42.6	23	26.5	0	0	286	0	1697292226
52.418587	16.839046	0	0	53.7	29	33.4	0	0	286	0	1697292228
52.418655	16.838665	0	0	63	34	39.1	0	0	286	0	1697292230
52.418716	16.838373	0	0	68.5	37	42.6	0	0	286	7000	1697292231
52.41877	16.838074	0	0	72.2	39	44.9	0	0	286	7000	1697292232
52.418884	16.837444	0	0	81.5	44	50.6	0	0	286	7000	1697292234
52.41954	16.834036	300	91	101.9	55	63.3	320	1.6	288	7000	1697292243
52.420212	16.830292	400	122	109.3	59	67.9	384	2	287	7000	1697292252
52.420986	16.826267	400	122	113	61	70.2	448	2.3	286	7000	1697292261
52.421684	16.822187	500	152	111.1	60	69	576	2.9	287	7000	1697292270
52.422428	16.818264	600	183	105.6	57	65.6	704	3.6	286	7000	1697292279
52.42305	16.814423	700	213	103.7	56	64.4	128	0.7	284	7000	1697292288
52.423416	16.811676	700	213	118.5	64	73.6	128	0.7	281	7000	1697292294
52.423546	16.810415	700	213	120.4	65	74.8	256	1.3	282	7000	1697292297
52.424011	16.807251	800	244	122.2	66	76	256	1.3	282	7000	1697292303
52.424469	16.803055	800	244	116.7	63	72.5	576	2.9	272	7000	1697292312
52.424385	16.80147	900	274	116.7	63	72.5	704	3.6	264	7000	1697292316
52.42429	16.800215	900	274	114.8	62	71.3	640	3.3	259	7000	1697292318
52.424103	16.79888	900	274	116.7	63	72.5	320	1.6	254	7000	1697292322
52.423828	16.797409	900	274	120.4	65	74.8	128	0.7	253	7000	1697292324
52.4235	16.795742	900	274	125.9	68	78.3	128	0.7	252	7000	1697292328
52.423233	16.794281	1000	305	129.6	70	80.6	192	1	252	7000	1697292331
52.422913	16.792755	1000	305	129.6	70	80.6	256	1.3	251	7000	1697292333
52.422592	16.791153	1000	305	133.3	72	82.9	128	0.7	253	7000	1697292337
52.422287	16.789621	1000	305	135.2	73	84	128	0.7	253	7000	1697292340
52.422043	16.787949	1000	305	137	74	85.2	192	1	255	7000	1697292343
52.421814	16.78627	1000	305	137	74	85.2	256	1.3	258	7000	1697292346
52.421497	16.782949	1000	305	137	74	85.2	384	2	263	7000	1697292352
52.421406	16.781145	1100	335	137	74	85.2	448	2.3	265	7000	1697292355
52.421356	16.779404	1100	335	137	74	85.2	448	2.3	266	7000	1697292358
52.421265	16.777927	1100	335	135.2	73	84	512	2.6	265	7000	1697292361
52.421127	16.776199	1100	335	133.3	72	82.9	448	2.3	262	7000	1697292364
52.42099	16.774597	1100	335	135.2	73	84	320	1.6	259	7000	1697292367
52.420799	16.772905	1200	366	137	74	85.2	384	2	259	7000	1697292370
52.420193	16.767883	1300	396	125.9	68	78.3	768	3.9	258	7000	1697292379
52.42001	16.76655	1300	396	122.2	66	76	640	3.3	257	7000	1697292382
52.4198	16.765137	1300	396	122.2	66	76	512	2.6	257	7000	1697292385
52.41959	16.763567	1300	396	124.1	67	77.1	320	1.6	257	7000	1697292388
52.419388	16.762009	1400	427	125.9	68	78.3	256	1.3	254	7000	1697292391
52.419075	16.760586	1400	427	127.8	69	79.4	384	2	251	7000	1697292394
52.418793	16.759262	1400	427	127.8	69	79.4	448	2.3	250	7000	1697292397
52.418472	16.75766	1400	427	127.8	69	79.4	448	2.3	250	7000	1697292400
52.418152	16.756134	1400	427	127.8	69	79.4	384	2	251	7000	1697292403
52.417786	16.754456	1500	457	129.6	70	80.6	320	1.6	251	7000	1697292406
52.417496	16.752817	1500	457	131.5	71	81.7	320	1.6	251	7000	1697292409
52.417191	16.751404	1500	457	135.2	73	84	128	0.7	251	7000	1697292412
52.41687	16.749725	1500	457	137	74	85.2	192	1	251	7000	1697292415
52.415913	16.744734	1500	457	144.5	78	89.8	-64	-0.3	254	7000	1697292424
52.414948	16.739349	1500	457	146.3	79	90.9	-64	-0.3	253	7000	1697292434
52.413986	16.734238	1500	457	142.6	77	88.6	256	1.3	252	7000	1697292442
52.413025	16.729126	1500	457	138.9	75	86.3	256	1.3	253	7000	1697292452
52.412155	16.724243	1500	457	137	74	85.2	256	1.3	254	7000	1697292461
52.411953	16.722605	1500	457	138.9	75	86.3	64	0.3	257	7000	1697292464
52.411697	16.721039	1500	457	138.9	75	86.3	192	1	257	7000	1697292466
52.411514	16.71936	1500	457	138.9	75	86.3	128	0.7	258	7000	1697292470
52.411301	16.717581	1500	457	138.9	75	86.3	0	0	257	7000	1697292473
52.410416	16.712265	1500	457	150	81	93.2	448	2.3	252	7000	1697292482
52.410046	16.71044	1600	488	148.2	80	92.1	832	4.2	250	7000	1697292485
52.409683	16.708832	1600	488	142.6	77	88.6	1216	6.2	248	7000	1697292488
52.409256	16.707224	1700	518	135.2	73	84	640	3.3	245	7000	1697292491
52.408859	16.705933	1700	518	137	74	85.2	-384	-2	243	7000	1697292494
52.408356	16.704254	1700	518	146.3	79	90.9	-448	-2.3	244	7000	1697292497
52.407856	16.702436	1600	488	150	81	93.2	-960	-4.9	246	7000	1697292500
52.40744	16.700632	1600	488	155.6	84	96.7	-448	-2.3	248	7000	1697292503
52.407021	16.698826	1600	488	155.6	84	96.7	-128	-0.7	249	7000	1697292506
52.405903	16.693411	1500	457	151.9	82	94.4	-256	-1.3	252	7000	1697292515
52.405624	16.691843	1500	457	151.9	82	94.4	-192	-1	253	7000	1697292518
52.405289	16.69014	1500	457	151.9	82	94.4	-192	-1	252	7000	1697292521
52.404877	16.68808	1500	457	153.7	83	95.5	-128	-0.7	251	7000	1697292524
52.404556	16.686325	1500	457	151.9	82	94.4	-128	-0.7	252	7000	1697292527
52.404179	16.684544	1500	457	150	81	93.2	-64	-0.3	252	7000	1697292530
52.40387	16.682739	1500	457	148.2	80	92.1	0	0	253	7000	1697292533
52.403229	16.679306	1500	457	144.5	78	89.8	64	0.3	253	7000	1697292539
52.402222	16.674271	1500	457	142.6	77	88.6	-64	-0.3	251	7000	1697292548
52.401169	16.669388	1500	457	142.6	77	88.6	0	0	249	7000	1697292557
52.400036	16.664377	1500	457	142.6	77	88.6	0	0	249	7000	1697292566
52.399017	16.659851	1500	457	135.2	73	84	192	1	249	7000	1697292575
52.397781	16.654816	1500	457	133.3	72	82.9	-128	-0.7	247	7000	1697292585
52.396545	16.650009	1500	457	135.2	73	84	-128	-0.7	245	7000	1697292594
52.395309	16.645584	1400	427	138.9	75	86.3	-192	-1	246	7000	1697292603
52.394073	16.640625	1400	427	135.2	73	84	0	0	247	7000	1697292612
