latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
50.320686	21.444403	0	0	0	0	0	0	0	2	0	1697293144
50.320934	21.444366	0	0	7.4	4	4.6	0	0	5	7000	1697293484
50.321148	21.444372	0	0	13	7	8.1	0	0	4	7000	1697293492
50.321377	21.444372	0	0	11.1	6	6.9	0	0	5	7000	1697293500
50.321583	21.444391	0	0	7.4	4	4.6	0	0	2	7000	1697293528
50.321793	21.444386	0	0	11.1	6	6.9	0	0	355	7000	1697293536
50.322002	21.444386	0	0	11.1	6	6.9	0	0	2	7000	1697293542
50.322212	21.444481	0	0	16.7	9	10.4	0	0	36	7000	1697293549
50.322304	21.444752	0	0	22.2	12	13.8	0	0	81	7000	1697293554
50.322315	21.445005	0	0	25.9	14	16.1	0	0	90	7000	1697293557
50.322319	21.445387	0	0	29.6	16	18.4	0	0	90	7000	1697293560
50.32233	21.445702	0	0	33.3	18	20.7	0	0	90	7000	1697293563
50.32233	21.446018	0	0	40.7	22	25.3	0	0	90	7000	1697293565
50.322327	21.446432	0	0	53.7	29	33.4	0	0	90	7000	1697293567
50.322327	21.446669	0	0	61.1	33	38	0	0	90	7000	1697293568
50.322327	21.447769	725	221	83.3	45	51.8	-64	-0.3	90	7000	1697293572
50.322327	21.448927	725	221	100	54	62.1	-64	-0.3	91	7000	1697293575
50.322319	21.450287	725	221	116.7	63	72.5	-128	-0.7	90	7000	1697293578
50.322319	21.451771	725	221	129.6	70	80.6	-192	-1	89	7000	1697293581
50.322319	21.456373	750	229	148.2	80	92.1	384	2	90	7000	1697293590
50.322365	21.463573	825	251	166.7	90	103.6	256	1.3	89	7000	1697293600
50.322365	21.469585	900	274	164.8	89	102.4	512	2.6	90	7000	1697293610
50.322456	21.474411	950	290	168.5	91	104.7	320	1.6	88	7000	1697293617
50.322502	21.48035	1000	305	168.5	91	104.7	320	1.6	91	7000	1697293626
50.322418	21.482391	1025	312	163	88	101.3	448	2.3	96	7000	1697293629
50.322132	21.484211	1075	328	161.1	87	100.1	448	2.3	99	7000	1697293633
50.321777	21.485861	1100	335	150	81	93.2	512	2.6	111	7000	1697293635
50.321293	21.487328	1100	335	146.3	79	90.9	320	1.6	119	7000	1697293638
50.320679	21.48868	1125	343	140.8	76	87.5	320	1.6	128	7000	1697293641
50.319901	21.489981	1150	351	135.2	73	84	448	2.3	135	7000	1697293645
50.319077	21.490921	1150	351	137	74	85.2	256	1.3	141	7000	1697293648
50.318222	21.491781	1175	358	137	74	85.2	192	1	149	7000	1697293651
50.317291	21.49251	1175	358	137	74	85.2	256	1.3	155	7000	1697293654
50.316265	21.493044	1200	366	138.9	75	86.3	192	1	162	7000	1697293657
50.315369	21.493305	1200	366	137	74	85.2	192	1	171	7000	1697293659
50.314362	21.493305	1225	373	135.2	73	84	448	2.3	182	7000	1697293662
50.313194	21.49297	1250	381	135.2	73	84	320	1.6	193	7000	1697293666
50.312542	21.492672	1250	381	135.2	73	84	320	1.6	198	7000	1697293668
50.311378	21.492004	1275	389	137	74	85.2	320	1.6	199	7000	1697293672
50.310398	21.491486	1300	396	140.8	76	87.5	256	1.3	201	7000	1697293674
50.309422	21.490816	1325	404	142.6	77	88.6	448	2.3	201	7000	1697293678
50.308399	21.490223	1350	411	140.8	76	87.5	640	3.3	202	7000	1697293680
50.307404	21.489548	1375	419	142.6	77	88.6	576	2.9	202	7000	1697293684
50.306442	21.488825	1400	427	140.8	76	87.5	640	3.3	204	7000	1697293687
50.30542	21.488144	1450	442	140.8	76	87.5	448	2.3	203	7000	1697293690
50.304489	21.487551	1450	442	140.8	76	87.5	448	2.3	201	7000	1697293693
50.303509	21.486958	1475	450	140.8	76	87.5	512	2.6	200	7000	1697293696
50.300346	21.485249	1550	472	146.3	79	90.9	384	2	199	7000	1697293705
50.298248	21.484198	1600	488	150	81	93.2	512	2.6	197	7000	1697293711
50.297379	21.483765	1575	480	157.4	85	97.8	-320	-1.6	195	7000	1697293713
50.295921	21.483171	1550	472	166.7	90	103.6	-128	-0.7	192	7000	1697293717
50.294853	21.482948	1550	472	166.7	90	103.6	128	0.7	188	7000	1697293719
50.293503	21.482725	1575	480	164.8	89	102.4	448	2.3	184	7000	1697293723
50.292339	21.482651	1600	488	166.7	90	103.6	448	2.3	181	7000	1697293726
50.290939	21.482576	1625	495	166.7	90	103.6	320	1.6	181	7000	1697293729
50.289642	21.482536	1625	495	168.5	91	104.7	0	0	179	7000	1697293732
50.28838	21.482576	1625	495	170.4	92	105.9	192	1	178	7000	1697293735
50.287029	21.482651	1625	495	170.4	92	105.9	256	1.3	179	7000	1697293738
50.285797	21.482609	1625	495	172.2	93	107	0	0	180	7000	1697293741
50.284607	21.482536	1625	495	174.1	94	108.2	-64	-0.3	183	7000	1697293744
50.283119	21.482428	1600	488	181.5	98	112.8	-512	-2.6	181	7000	1697293747
50.28056	21.481611	1575	480	181.5	98	112.8	0	0	202	7000	1697293753
50.279488	21.480425	1575	480	179.6	97	111.6	128	0.7	221	7000	1697293756
50.278511	21.47879	1575	480	183.3	99	113.9	64	0.3	229	7000	1697293759
50.277676	21.476862	1575	480	185.2	100	115.1	64	0.3	238	7000	1697293762
50.277069	21.474932	1575	480	187.1	101	116.2	-128	-0.7	244	7000	1697293765
50.27655	21.472923	1600	488	185.2	100	115.1	384	2	247	7000	1697293768
50.276047	21.471115	1625	495	177.8	96	110.5	640	3.3	242	7000	1697293771
50.275253	21.469439	1675	511	170.4	92	105.9	768	3.9	228	7000	1697293774
50.273987	21.468369	1700	518	166.7	90	103.6	448	2.3	200	7000	1697293777
50.272785	21.46825	1700	518	175.9	95	109.3	-128	-0.7	178	7000	1697293780
50.271423	21.469164	1700	518	187.1	101	116.2	128	0.7	150	7000	1697293783
50.27037	21.470755	1725	526	198.2	107	123.1	448	2.3	126	7000	1697293786
50.26976	21.472704	1725	526	203.7	110	126.6	320	1.6	111	7000	1697293789
50.269436	21.475451	1750	533	214.8	116	133.5	128	0.7	96	7000	1697293792
50.269455	21.477982	1725	526	222.2	120	138.1	-64	-0.3	87	7000	1697293795
50.269775	21.480368	1725	526	229.6	124	142.7	-128	-0.7	74	7000	1697293798
50.270737	21.482948	1750	533	231.5	125	143.8	256	1.3	53	7000	1697293801
50.271973	21.484488	1775	541	229.6	124	142.7	448	2.3	33	7000	1697293804
50.273804	21.485283	1775	541	224.1	121	139.2	-64	-0.3	8	7000	1697293807
50.275162	21.485102	1750	533	220.4	119	136.9	-448	-2.3	349	7000	1697293810
50.276917	21.484198	1725	526	224.1	121	139.2	-448	-2.3	339	7000	1697293813
50.278374	21.483246	1675	511	233.4	126	145	-1024	-5.2	334	7000	1697293816
50.279953	21.481537	1650	503	225.9	122	140.4	-768	-3.9	317	7000	1697293819
50.280746	21.479385	1675	511	205.6	111	127.7	256	1.3	291	7000	1697293822
50.281025	21.477083	1675	511	198.2	107	123.1	128	0.7	276	7000	1697293825
50.280933	21.474709	1675	511	192.6	104	119.7	0	0	264	7000	1697293828
