latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
32.684372	-96.87262	675	206	164.8	89	102.4	768	3.9	317	0	1697294120
32.687073	-96.875534	825	251	164.8	89	102.4	1024	5.2	317	0	1697294128
32.689041	-96.877716	925	282	163	88	101.3	1216	6.2	319	0	1697294135
32.690506	-96.878647	1025	312	157.4	85	97.8	1088	5.5	341	0	1697294139
32.6922	-96.878761	1075	328	163	88	101.3	512	2.6	5	0	1697294143
32.693573	-96.878159	1100	335	174.1	94	108.2	576	2.9	27	0	1697294146
32.694443	-96.877274	1125	343	183.3	99	113.9	640	3.3	43	0	1697294149
32.695313	-96.875763	1175	358	196.3	106	122	1216	6.2	59	0	1697294152
32.695816	-96.874039	1250	381	203.7	110	126.6	1088	5.5	72	0	1697294155
32.695965	-96.872231	1275	389	209.3	113	130	1088	5.5	87	0	1697294158
32.69577	-96.870407	1325	404	216.7	117	134.6	1024	5.2	101	0	1697294161
32.695221	-96.868546	1375	419	225.9	122	140.4	960	4.9	112	5116	1697294164
32.694473	-96.866959	1425	434	225.9	122	140.4	832	4.2	116	5116	1697294167
32.693356	-96.865166	1475	450	231.5	125	143.8	1024	5.2	128	5116	1697294170
32.692017	-96.863541	1525	465	233.4	126	145	1088	5.5	134	5116	1697294173
32.690735	-96.861893	1600	488	231.5	125	143.8	896	4.6	133	5116	1697294176
32.689541	-96.860458	1625	495	237.1	128	147.3	576	2.9	133	5116	1697294179
32.688377	-96.859001	1650	503	240.8	130	149.6	512	2.6	133	5116	1697294182
32.68689	-96.85717	1675	511	244.5	132	151.9	640	3.3	133	5116	1697294185
32.685608	-96.855522	1725	526	250	135	155.4	640	3.3	132	5116	1697294188
32.684738	-96.854424	1750	533	253.7	137	157.7	832	4.2	132	5116	1697294191
32.683254	-96.852501	1800	549	253.7	137	157.7	960	4.9	132	5116	1697294194
32.681953	-96.850815	1850	564	250	135	155.4	1408	7.2	132	5116	1697294197
32.678604	-96.846512	2075	632	237.1	128	147.3	1344	6.8	131	5116	1697294205
32.675667	-96.842468	2250	686	231.5	125	143.8	1216	6.2	130	5116	1697294213
32.672058	-96.837234	2400	732	231.5	125	143.8	960	4.9	129	5116	1697294223
32.669312	-96.833275	2525	770	233.4	126	145	1024	5.2	128	5116	1697294230
32.666153	-96.828384	2675	815	237.1	128	147.3	832	4.2	127	5116	1697294239
32.662632	-96.823013	2825	861	244.5	132	151.9	768	3.9	127	5116	1697294248
32.659142	-96.817749	2950	899	253.7	137	157.7	832	4.2	128	5116	1697294258
32.655258	-96.812454	3075	937	253.7	137	157.7	1216	6.2	132	5116	1697294267
32.654301	-96.811134	3125	953	251.9	136	156.5	1280	6.5	132	5116	1697294269
32.653091	-96.809616	3200	975	250	135	155.4	1024	5.2	132	5116	1697294272
32.651642	-96.807678	3250	991	250	135	155.4	1024	5.2	132	5116	1697294275
32.648026	-96.803009	3400	1036	248.2	134	154.2	960	4.9	131	5116	1697294284
