latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
51.249828	16.829025	2100	640	0	0	0	0	0	0	0	1697294769
51.253151	16.811434	2100	640	0	0	0	0	0	0	0	1697294829
51.255161	16.784945	2100	640	0	0	0	0	0	0	0	1697294889
51.254295	16.754351	2100	640	129.6	70	80.6	0	0	248	0	1697294901
51.253929	16.752041	2100	640	129.6	70	80.6	0	0	248	0	1697294908
51.253777	16.748831	2100	640	129.6	70	80.6	0	0	248	0	1697294921
51.25375	16.742826	2100	640	129.6	70	80.6	0	0	248	0	1697294939
51.253704	16.73465	2100	640	129.6	70	80.6	0	0	248	0	1697294973
51.254272	16.717098	2100	640	129.6	70	80.6	0	0	248	0	1697294993
51.255005	16.709784	2100	640	129.6	70	80.6	0	0	248	0	1697295012
51.256462	16.701807	2100	640	129.6	70	80.6	0	0	248	7000	1697295048
51.262203	16.681902	2100	640	129.6	70	80.6	0	0	248	7000	1697295069
51.265133	16.676517	2100	640	129.6	70	80.6	0	0	248	7000	1697295093
51.267715	16.668131	2100	640	129.6	70	80.6	0	0	248	7000	1697295101
51.270012	16.662941	2100	640	129.6	70	80.6	0	0	290	7000	1697295129
51.272949	16.652897	2100	640	129.6	70	80.6	0	0	290	7000	1697295144
51.275898	16.644615	2100	640	129.6	70	80.6	0	0	290	7000	1697295178
51.280682	16.630621	2100	640	129.6	70	80.6	0	0	290	7000	1697295193
51.283028	16.623909	2200	671	129.6	70	80.6	0	0	290	7000	1697295241
51.290321	16.604834	2300	701	129.6	70	80.6	0	0	290	7000	1697295268
51.293938	16.595137	2300	701	129.6	70	80.6	192	1	290	7000	1697295281
51.296799	16.587332	2100	640	122.2	66	76	0	0	297	7000	1697295316
51.300877	16.575647	2100	640	122.2	66	76	0	0	297	7000	1697295336
51.303822	16.567034	2100	640	122.2	66	76	0	0	297	7000	1697295368
51.308323	16.553335	2200	671	122.2	66	76	0	0	297	7000	1697295410
51.31588	16.531223	2200	671	122.2	66	76	0	0	297	7000	1697295457
51.320518	16.517561	2100	640	122.2	66	76	0	0	297	7000	1697295476
51.323421	16.510254	2200	671	122.2	66	76	-256	-1.3	297	7000	1697295525
51.331757	16.4911	2200	671	122.2	66	76	-256	-1.3	297	7000	1697295561
51.337502	16.477043	2200	671	122.2	66	76	-256	-1.3	297	7000	1697295608
51.34441	16.45825	2100	640	122.2	66	76	-256	-1.3	297	7000	1697295704
51.356705	16.420076	2300	701	122.2	66	76	-256	-1.3	297	7000	1697295964
