latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
52.173779	20.939476	1600	488	24.1	13	15	0	0	120	0	1697294848
52.176453	20.931072	2025	617	259.3	140	161.1	0	0	298	0	1697294857
52.180019	20.919167	2575	785	255.6	138	158.8	2688	13.7	296	0	1697294869
52.183414	20.908449	3075	937	259.3	140	161.1	2752	14	297	0	1697294881
52.185837	20.901991	3550	1082	281.5	152	174.9	2496	12.7	300	0	1697294892
52.189163	20.895405	3725	1135	300	162	186.4	2624	13.3	307	1372	1697294896
52.19392	20.889269	3975	1212	300	162	186.4	2560	13	318	1372	1697294902
52.195137	20.888628	4075	1242	303.7	164	188.7	2560	13	318	1372	1697294904
52.197716	20.886253	4225	1288	300	162	186.4	2560	13	318	1372	1697294908
52.199169	20.884649	4325	1318	300	162	186.4	2560	13	328	1372	1697294910
52.202011	20.881893	4525	1379	311.1	168	193.3	2560	13	328	1372	1697294914
52.203621	20.880207	4625	1410	314.8	170	195.6	2496	12.7	328	1372	1697294917
52.204594	20.879721	4800	1463	314.8	170	195.6	2496	12.7	328	1372	1697294921
52.206947	20.876991	4750	1448	322.2	174	200.2	2496	12.7	328	1372	1697294925
52.209476	20.874104	5000	1524	329.7	178	204.8	2496	12.7	328	1372	1697294928
52.211609	20.871988	5225	1593	337.1	182	209.4	2496	12.7	328	1372	1697294932
52.214611	20.86874	5425	1654	337.1	182	209.4	2496	12.7	328	1372	1697294936
52.225883	20.85799	6100	1859	351.9	190	218.6	2560	13	330	1372	1697294952
52.238827	20.845791	6775	2065	392.6	212	244	2560	13	330	1372	1697294968
52.24881	20.836514	7275	2217	407.4	220	253.2	2560	13	330	1372	1697294980
52.263237	20.823437	7975	2431	429.7	232	267	2304	11.7	330	1372	1697294996
52.278328	20.809544	8650	2637	455.6	246	283.1	2560	13	330	1372	1697295012
52.2952	20.793598	9250	2819	477.8	258	296.9	2496	12.7	330	1372	1697295026
52.307484	20.781645	9875	3010	488.9	264	303.8	2560	13	330	1372	1697295040
52.325325	20.764263	10500	3200	533.4	288	331.4	2816	14.3	330	1372	1697295056
52.343193	20.746592	11200	3414	540.8	292	336	2624	13.3	329	1372	1697295072
52.357552	20.732468	11850	3612	563	304	349.8	3136	15.9	329	1372	1697295084
52.377281	20.713072	12800	3901	566.7	306	352.1	3584	18.2	329	1372	1697295100
52.422001	20.668406	14875	4534	570.4	308	354.4	2944	15	329	1372	1697295136
52.462788	20.627468	16500	5029	592.6	320	368.2	3136	15.9	329	1372	1697295168
52.504345	20.586138	18100	5517	618.6	334	384.4	3136	15.9	329	1372	1697295200
52.54734	20.543285	19700	6005	629.7	340	391.3	2880	14.6	329	1372	1697295232
52.597118	20.493832	21425	6530	644.5	348	400.5	3008	15.3	329	1372	1697295266
52.635777	20.454821	22900	6980	651.9	352	405.1	3072	15.6	329	1372	1697295296
52.680687	20.409327	24425	7445	659.3	356	409.7	2496	12.7	329	1372	1697295328
52.724743	20.364967	25600	7803	685.2	370	425.8	2176	11.1	329	1372	1697295360
52.775097	20.313818	26725	8146	707.5	382	439.6	2048	10.4	329	1372	1697295391
52.821117	20.267401	27825	8481	729.7	394	453.4	1792	9.1	329	1372	1697295424
52.872063	20.21558	28875	8801	740.8	400	460.3	2112	10.7	329	1372	1697295456
52.92123	20.165316	29950	9129	751.9	406	467.2	1984	10.1	329	1372	1697295488
52.980858	20.104748	31125	9487	755.6	408	469.5	2048	10.4	329	1372	1697295524
53.032745	20.051613	32100	9784	759.3	410	471.8	1984	10.1	328	1372	1697295556
53.083977	19.998753	33250	10135	759.3	410	471.8	1536	7.8	328	1372	1697295589
53.135307	19.945522	33875	10325	766.7	414	476.4	960	4.9	328	1372	1697295620
53.194801	19.883959	34500	10516	792.7	428	492.5	1024	5.2	328	1372	1697295656
53.249016	19.827847	35050	10683	807.5	436	501.7	960	4.9	328	1372	1697295689
53.30405	19.77067	35575	10843	814.9	440	506.3	1024	5.2	328	1372	1697295720
53.367104	19.704578	36100	11003	818.6	442	508.6	768	3.9	328	1372	1697295754
53.414547	19.654613	36625	11163	822.3	444	510.9	1024	5.2	328	1372	1697295784
53.469318	19.598475	37275	11361	818.6	442	508.6	1024	5.2	330	1372	1697295816
53.525394	19.538568	38050	11598	807.5	436	501.7	1536	7.8	328	1372	1697295848
53.58075	19.479723	38825	11834	796.4	430	494.8	1344	6.8	328	1372	1697295881
53.633591	19.423172	39350	11994	792.7	428	492.5	960	4.9	328	1372	1697295912
53.687252	19.366022	39850	12146	789	426	490.2	896	4.6	328	1372	1697295944
53.745178	19.304472	40100	12222	792.7	428	492.5	448	2.3	328	1372	1697295977
53.792252	19.253811	40425	12322	800.1	432	497.1	384	2	328	1372	1697296008
53.846493	19.195454	40700	12405	807.5	436	501.7	448	2.3	328	1372	1697296040
53.901142	19.136677	40950	12482	814.9	440	506.3	384	2	328	1372	1697296072
53.959225	19.07428	41225	12565	818.6	442	508.6	512	2.6	328	1372	1697296104
54.01054	19.01845	41500	12649	822.3	444	510.9	512	2.6	328	1372	1697296136
54.066113	18.957682	41750	12725	822.3	444	510.9	448	2.3	327	1372	1697296169
54.12875	18.8894	42150	12847	811.2	438	504	704	3.6	327	1372	1697296204
