latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
51.379761	19.686016	800	244	98.2	53	61	896	4.6	208	0	1699868553
51.377888	19.684219	900	274	103.7	56	64.4	256	1.3	210	0	1699868562
51.376465	19.683046	900	274	101.9	55	63.3	704	3.6	206	0	1699868568
51.375702	19.682465	900	274	101.9	55	63.3	448	2.3	204	0	1699868571
51.375046	19.682007	1000	305	105.6	57	65.6	512	2.6	201	0	1699868574
51.374313	19.681635	1000	305	101.9	55	63.3	640	3.3	201	0	1699868577
51.373627	19.68119	1000	305	100	54	62.1	640	3.3	201	0	1699868580
51.372849	19.680744	1100	335	100	54	62.1	576	2.9	199	0	1699868583
51.37207	19.6803	1100	335	100	54	62.1	448	2.3	198	0	1699868586
51.371338	19.680002	1100	335	98.2	53	61	640	3.3	195	0	1699868589
51.370628	19.679794	1100	335	100	54	62.1	576	2.9	188	0	1699868592
51.369881	19.679642	1200	366	101.9	55	63.3	576	2.9	186	0	1699868595
51.369045	19.679489	1200	366	103.7	56	64.4	256	1.3	186	0	1699868598
51.368252	19.679337	1200	366	105.6	57	65.6	320	1.6	187	0	1699868601
51.367416	19.679184	1200	366	114.8	62	71.3	0	0	186	0	1699868604
51.366531	19.679031	1200	366	122.2	66	76	128	0.7	186	0	1699868607
51.365799	19.678888	1200	366	127.8	69	79.4	256	1.3	184	0	1699868610
51.364517	19.678888	1300	396	129.6	70	80.6	640	3.3	176	0	1699868613
51.363647	19.67926	1300	396	131.5	71	81.7	768	3.9	160	0	1699868616
51.362759	19.680099	1300	396	131.5	71	81.7	768	3.9	145	0	1699868619
51.362015	19.681244	1400	427	138.9	75	86.3	512	2.6	131	0	1699868622
51.361359	19.682674	1400	427	142.6	77	88.6	384	2	125	0	1699868625
51.36076	19.684296	1400	427	144.5	78	89.8	320	1.6	120	0	1699868629
51.360214	19.685793	1400	427	148.2	80	92.1	384	2	118	0	1699868632
51.359711	19.687426	1400	427	150	81	93.2	256	1.3	115	0	1699868635
51.359207	19.689207	1400	427	155.6	84	96.7	192	1	115	0	1699868638
51.358711	19.690857	1500	457	157.4	85	97.8	384	2	114	0	1699868641
51.3582	19.692621	1500	457	159.3	86	99	576	2.9	115	7000	1699868644
51.357651	19.69433	1500	457	159.3	86	99	384	2	116	7000	1699868647
51.357128	19.696045	1500	457	163	88	101.3	384	2	114	7000	1699868650
51.356663	19.697876	1500	457	166.7	90	103.6	192	1	111	7000	1699868653
51.356148	19.69986	1600	488	168.5	91	104.7	192	1	113	7000	1699868656
51.355728	19.7019	1600	488	170.4	92	105.9	640	3.3	105	7000	1699868659
51.355637	19.703674	1600	488	164.8	89	102.4	1152	5.9	91	7000	1699868662
51.35582	19.705612	1700	518	157.4	85	97.8	832	4.2	75	7000	1699868665
51.356232	19.707394	1700	518	157.4	85	97.8	384	2	64	7000	1699868668
51.356895	19.709015	1700	518	157.4	85	97.8	256	1.3	54	7000	1699868671
51.357826	19.710541	1800	549	155.6	84	96.7	384	2	43	7000	1699868674
51.358711	19.711685	1800	549	148.2	80	92.1	576	2.9	33	7000	1699868677
51.359688	19.712524	1800	549	153.7	83	95.5	-128	-0.7	28	7000	1699868680
51.360664	19.713364	1800	549	159.3	86	99	-128	-0.7	28	7000	1699868683
51.361725	19.714224	1800	549	164.8	89	102.4	-128	-0.7	26	7000	1699868686
51.362732	19.71504	1800	549	168.5	91	104.7	64	0.3	26	7000	1699868689
51.364105	19.716154	1800	549	174.1	94	108.2	64	0.3	25	7000	1699868692
51.365414	19.717102	1800	549	170.4	92	105.9	576	2.9	26	7000	1699868696
51.366257	19.717787	1800	549	166.7	90	103.6	576	2.9	26	7000	1699868698
51.367649	19.718857	1800	549	164.8	89	102.4	-128	-0.7	25	7000	1699868701
51.368767	19.719696	1800	549	168.5	91	104.7	0	0	25	7000	1699868705
51.372253	19.722612	1900	579	174.1	94	108.2	64	0.3	29	7000	1699868714
51.375656	19.725723	1900	579	174.1	94	108.2	-64	-0.3	30	7000	1699868723
51.376865	19.726944	1900	579	175.9	95	109.3	0	0	31	7000	1699868726
51.377792	19.727882	1900	579	175.9	95	109.3	64	0.3	32	7000	1699868728
51.378754	19.728848	1900	579	174.1	94	108.2	128	0.7	32	7000	1699868731
51.380081	19.730183	1900	579	172.2	93	107	64	0.3	32	7000	1699868735
51.381287	19.731445	1900	579	174.1	94	108.2	-128	-0.7	34	7000	1699868738
51.382324	19.732559	1900	579	172.2	93	107	-64	-0.3	33	7000	1699868741
51.385712	19.735973	1900	579	172.2	93	107	-64	-0.3	30	7000	1699868750
51.389061	19.739075	1900	579	168.5	91	104.7	-64	-0.3	30	7000	1699868759
51.392349	19.74206	1800	549	170.4	92	105.9	0	0	28	7000	1699868768
51.393311	19.742878	1800	549	170.4	92	105.9	64	0.3	27	7000	1699868771
51.39465	19.743958	1800	549	168.5	91	104.7	64	0.3	27	7000	1699868774
51.396927	19.745846	1800	549	170.4	92	105.9	-128	-0.7	25	7000	1699868780
51.398026	19.746662	1800	549	170.4	92	105.9	0	0	23	7000	1699868783
51.399033	19.747332	1800	549	168.5	91	104.7	320	1.6	22	7000	1699868786
51.400543	19.748148	1900	579	161.1	87	100.1	320	1.6	15	7000	1699868789
51.401733	19.748371	1900	579	148.2	80	92.1	576	2.9	1	7000	1699868793
51.40242	19.748222	1900	579	135.2	73	84	512	2.6	348	7000	1699868795
51.403336	19.747478	1900	579	127.8	69	79.4	192	1	335	7000	1699868798
51.404114	19.746218	1900	579	118.5	64	73.6	-192	-1	309	7000	1699868802
51.404663	19.745029	1900	579	122.2	66	76	-256	-1.3	305	7000	1699868805
51.40517	19.743805	1900	579	122.2	66	76	-256	-1.3	303	7000	1699868808
51.405636	19.742737	1900	579	118.5	64	73.6	-320	-1.6	304	7000	1699868810
51.405914	19.742126	1900	579	116.7	63	72.5	-256	-1.3	304	7000	1699868812
51.406723	19.740278	1800	549	111.1	60	69	-192	-1	305	7000	1699868817
51.407135	19.739388	1800	549	107.4	58	66.7	-384	-2	306	7000	1699868819
51.407639	19.738348	1800	549	107.4	58	66.7	-448	-2.3	306	7000	1699868822
51.408051	19.73731	1800	549	109.3	59	67.9	-320	-1.6	302	7000	1699868825
51.408508	19.736048	1700	518	107.4	58	66.7	-576	-2.9	300	7000	1699868829
51.408966	19.734934	1700	518	109.3	59	67.9	-512	-2.6	303	7000	1699868832
51.410149	19.732285	1700	518	96.3	52	59.8	-128	-0.7	304	7000	1699868840
51.411034	19.729996	1700	518	92.6	50	57.5	-640	-3.3	299	7000	1699868847
51.411407	19.728928	1600	488	94.5	51	58.7	-576	-2.9	299	7000	1699868850
51.41153	19.72855	1600	488	94.5	51	58.7	-512	-2.6	298	7000	1699868851
51.411919	19.727402	1600	488	94.5	51	58.7	-384	-2	297	7000	1699868855
51.412571	19.725266	1500	457	92.6	50	57.5	-320	-1.6	294	7000	1699868861
51.412857	19.724245	1500	457	90.7	49	56.4	-512	-2.6	292	7000	1699868864
51.413036	19.723129	1500	457	92.6	50	57.5	-384	-2	281	7000	1699868867
51.412994	19.722017	1500	457	88.9	48	55.2	-256	-1.3	259	7000	1699868870
51.41272	19.721127	1500	457	88.9	48	55.2	-256	-1.3	238	7000	1699868873
51.412262	19.72031	1400	427	88.9	48	55.2	-640	-3.3	226	7000	1699868876
51.411804	19.719568	1400	427	90.7	49	56.4	-768	-3.9	225	7000	1699868879
51.411266	19.718552	1400	427	94.5	51	58.7	-640	-3.3	232	7000	1699868882
51.410801	19.717712	1300	396	98.2	53	61	-448	-2.3	228	7000	1699868885
51.410339	19.71697	1300	396	100	54	62.1	-384	-2	222	7000	1699868888
51.409683	19.71611	1300	396	98.2	53	61	-320	-1.6	219	7000	1699868891
51.409126	19.715347	1300	396	98.2	53	61	-256	-1.3	215	7000	1699868894
51.408508	19.714743	1300	396	94.5	51	58.7	-384	-2	213	7000	1699868897
51.407913	19.714075	1300	396	96.3	52	59.8	-320	-1.6	214	7000	1699868900
51.40731	19.71344	1200	366	98.2	53	61	-128	-0.7	211	7000	1699868903
51.406658	19.712753	1200	366	98.2	53	61	-256	-1.3	212	7000	1699868906
51.406052	19.712067	1200	366	100	54	62.1	-320	-1.6	216	7000	1699868909
51.405449	19.71138	1200	366	98.2	53	61	-192	-1	214	7000	1699868912
51.404751	19.710693	1200	366	98.2	53	61	-192	-1	211	7000	1699868915
51.404099	19.710083	1200	366	100	54	62.1	-256	-1.3	208	7000	1699868919
51.402237	19.708176	1100	335	101.9	55	63.3	-128	-0.7	216	7000	1699868927
51.401642	19.707394	1100	335	96.3	52	59.8	192	1	218	7000	1699868930
51.400421	19.706192	1100	335	92.6	50	57.5	-320	-1.6	207	7000	1699868936
51.399811	19.705687	1100	335	94.5	51	58.7	-192	-1	206	7000	1699868939
51.399117	19.705124	1100	335	94.5	51	58.7	64	0.3	207	7000	1699868942
51.397346	19.703445	1100	335	90.7	49	56.4	-192	-1	213	7000	1699868951
51.396183	19.702225	1100	335	90.7	49	56.4	-256	-1.3	211	7000	1699868958
51.395554	19.70153	1100	335	92.6	50	57.5	0	0	213	7000	1699868961
51.394463	19.700317	1100	335	94.5	51	58.7	-512	-2.6	217	7000	1699868966
51.39381	19.699631	1100	335	96.3	52	59.8	-640	-3.3	212	7000	1699868970
51.391949	19.697723	1000	305	98.2	53	61	-576	-2.9	211	7000	1699868979
51.3899	19.69574	900	274	105.6	57	65.6	-640	-3.3	211	7000	1699868988
51.388641	19.694477	800	244	107.4	58	66.7	-704	-3.6	210	7000	1699868994
51.388412	19.694256	800	244	107.4	58	66.7	-768	-3.9	209	7000	1699868995
51.386261	19.692177	700	213	111.1	60	69	-576	-2.9	212	7000	1699869004
51.38443	19.690395	700	213	87	47	54.1	0	0	213	7000	1699869013
51.382507	19.68854	700	213	87	47	54.1	0	0	208	7000	1699869023
51.381149	19.687119	700	213	103.7	56	64.4	64	0.3	214	7000	1699869030
51.377884	19.684011	800	244	101.9	55	63.3	384	2	206	7000	1699869044
51.376633	19.682999	800	244	101.9	55	63.3	320	1.6	207	7000	1699869049
51.375748	19.682236	800	244	107.4	58	66.7	192	1	207	7000	1699869053
51.374958	19.681625	800	244	109.3	59	67.9	704	3.6	206	7000	1699869056
51.374222	19.681042	900	274	105.6	57	65.6	576	2.9	207	7000	1699869059
51.373535	19.680449	900	274	103.7	56	64.4	512	2.6	206	7000	1699869062
51.372803	19.679928	900	274	101.9	55	63.3	576	2.9	204	7000	1699869065
51.37207	19.679489	1000	305	101.9	55	63.3	512	2.6	198	7000	1699869068
51.371338	19.679186	1000	305	103.7	56	64.4	384	2	194	7000	1699869071
51.370487	19.678802	1000	305	111.1	60	69	-192	-1	193	7000	1699869074
51.369698	19.678574	1000	305	116.7	63	72.5	320	1.6	192	7000	1699869077
51.368774	19.678221	1000	305	114.8	62	71.3	704	3.6	192	7000	1699869081
51.367928	19.677887	1000	305	111.1	60	69	448	2.3	194	7000	1699869084
51.367184	19.677582	1100	335	113	61	70.2	384	2	195	7000	1699869086
51.366253	19.677124	1100	335	113	61	70.2	384	2	197	7000	1699869090
51.365479	19.676737	1100	335	114.8	62	71.3	512	2.6	195	7000	1699869093
51.364609	19.676439	1100	335	114.8	62	71.3	384	2	190	7000	1699869096
51.364014	19.676365	1100	335	118.5	64	73.6	320	1.6	184	7000	1699869098
51.362759	19.676285	1100	335	127.8	69	79.4	-384	-2	180	7000	1699869102
51.361736	19.676208	1100	335	138.9	75	86.3	-256	-1.3	180	7000	1699869105
51.360718	19.676216	1100	335	144.5	78	89.8	64	0.3	181	7000	1699869108
51.359592	19.676132	1100	335	146.3	79	90.9	320	1.6	181	7000	1699869111
51.358521	19.676142	1200	366	146.3	79	90.9	256	1.3	180	7000	1699869114
51.357422	19.676142	1200	366	144.5	78	89.8	640	3.3	178	7000	1699869117
51.356289	19.676285	1200	366	137	74	85.2	832	4.2	176	7000	1699869120
51.355171	19.676437	1300	396	133.3	72	82.9	384	2	173	7000	1699869123
51.354336	19.676666	1300	396	133.3	72	82.9	320	1.6	170	7000	1699869126
51.353355	19.6772	1300	396	137	74	85.2	704	3.6	156	7000	1699869129
51.352425	19.678345	1400	427	138.9	75	86.3	704	3.6	139	7000	1699869132
51.351837	19.679707	1400	427	142.6	77	88.6	384	2	119	7000	1699869135
51.351635	19.680481	1400	427	142.6	77	88.6	384	2	115	7000	1699869137
51.351013	19.682898	1400	427	148.2	80	92.1	320	1.6	109	7000	1699869141
51.350647	19.684753	1400	427	151.9	82	94.4	320	1.6	106	7000	1699869144
51.350372	19.686386	1400	427	151.9	82	94.4	576	2.9	105	7000	1699869147
51.350006	19.688492	1500	457	155.6	84	96.7	192	1	104	7000	1699869151
51.349773	19.690247	1500	457	159.3	86	99	-128	-0.7	104	7000	1699869153
51.349503	19.692102	1500	457	164.8	89	102.4	0	0	102	7000	1699869156
51.349213	19.69429	1500	457	170.4	92	105.9	64	0.3	101	7000	1699869160
51.348953	19.696186	1500	457	170.4	92	105.9	384	2	101	7000	1699869162
51.348701	19.69841	1500	457	164.8	89	102.4	1088	5.5	100	7000	1699869166
51.348606	19.700012	1600	488	155.6	84	96.7	1472	7.5	92	7000	1699869168
51.348843	19.70192	1600	488	142.6	77	88.6	768	3.9	70	7000	1699869172
51.349354	19.703217	1600	488	140.8	76	87.5	128	0.7	54	7000	1699869174
51.350143	19.704498	1600	488	140.8	76	87.5	0	0	41	7000	1699869178
51.351074	19.705734	1600	488	148.2	80	92.1	-128	-0.7	39	7000	1699869181
51.351837	19.706503	1600	488	155.6	84	96.7	-128	-0.7	33	7000	1699869183
51.352982	19.707617	1600	488	153.7	83	95.5	256	1.3	28	7000	1699869187
51.353989	19.708433	1700	518	151.9	82	94.4	576	2.9	27	7000	1699869190
51.354336	19.70871	1700	518	151.9	82	94.4	576	2.9	27	7000	1699869191
51.355911	19.709991	1700	518	146.3	79	90.9	192	1	26	7000	1699869196
51.356369	19.710363	1700	518	146.3	79	90.9	192	1	25	7000	1699869197
51.357376	19.711105	1700	518	146.3	79	90.9	256	1.3	24	7000	1699869200
51.358337	19.711761	1700	518	146.3	79	90.9	256	1.3	23	7000	1699869203
51.359409	19.712448	1700	518	144.5	78	89.8	256	1.3	22	7000	1699869206
51.360527	19.713211	1800	549	146.3	79	90.9	320	1.6	21	7000	1699869209
51.36145	19.713778	1800	549	146.3	79	90.9	192	1	20	7000	1699869212
51.362549	19.714447	1800	549	146.3	79	90.9	320	1.6	20	7000	1699869215
51.363552	19.715042	1800	549	151.9	82	94.4	-384	-2	20	7000	1699869218
51.366997	19.717484	1800	549	163	88	101.3	64	0.3	25	7000	1699869227
51.369232	19.719196	1700	518	163	88	101.3	-128	-0.7	24	7000	1699869233
51.371513	19.720917	1700	518	166.7	90	103.6	-64	-0.3	26	7000	1699869239
51.372574	19.721796	1700	518	168.5	91	104.7	-256	-1.3	26	7000	1699869242
51.373795	19.722748	1700	518	172.2	93	107	-320	-1.6	27	7000	1699869246
51.374863	19.723724	1700	518	172.2	93	107	-64	-0.3	28	7000	1699869248
51.378342	19.726694	1700	518	174.1	94	108.2	0	0	29	7000	1699869257
51.37952	19.727783	1700	518	175.9	95	109.3	-192	-1	30	7000	1699869260
51.380634	19.728851	1700	518	175.9	95	109.3	-192	-1	30	7000	1699869264
51.381821	19.729961	1700	518	175.9	95	109.3	-128	-0.7	30	7000	1699869267
51.385208	19.732855	1700	518	174.1	94	108.2	-128	-0.7	26	7000	1699869276
51.388962	19.735825	1600	488	172.2	93	107	-64	-0.3	24	7000	1699869285
51.39006	19.736567	1600	488	172.2	93	107	-64	-0.3	23	7000	1699869288
51.391205	19.737396	1600	488	172.2	93	107	-64	-0.3	24	7000	1699869291
